#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
metajournalismproject.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metajournalismproject.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metalightweightinterfaces.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metalightweightinterfaces.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamarketingpartner.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamarketingpartner.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamarketplace.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessenger.com.sg,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessenger.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessenger.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerbrand.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerbrand.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerforbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerforbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerkids.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerkids.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerlite.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerlite.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerrooms.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metamessengerrooms.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanewproductexperimentation.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanewproductexperimentation.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanewsroom.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanovi.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanovi.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanovibrand.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanovibrand.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanpe.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metanpe.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusdevelopers.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusdevelopers.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusforbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusforbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusquest.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusquest.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusstudios.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusstudios.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusvenues.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaoculusvenues.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaopenarts.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaopenarts.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metapixelads.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metapixelads.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportal.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
